CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 30330
NOMBRE    : HEROICA CORDOBA (SMN)
ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE
MUNICIPIO : CORDOBA
SITUACI�N : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.883�
LONGITUD  : -096.917�
ALTITUD   : 803 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (�C)   (�C)
20/11/1979  0      2.3    28.5   13 
21/11/1979  0      1.9    27.5   13 
22/11/1979  9.3    2      27     13 
23/11/1979  0      1      28     13 
24/11/1979  0      0.6    28     13 
25/11/1979  2      1.8    28     13 
26/11/1979  0      2.1    28     13 
27/11/1979  0      1      28     12 
28/11/1979  0      2.5    28     12 
29/11/1979  18.2   1.8    28     12 
30/11/1979  0.5    1.3    28     11.5 
01/12/1979  0      0.6    28     12 
02/12/1979  14.7   0.3    28     12 
03/12/1979  3      0.1    28     12 
04/12/1979  2.8    0.9    28.5   11.5 
05/12/1979  0      0.2    28     12 
06/12/1979  0     Nulo    28     12 
07/12/1979  2.2    0.1    27.5   12 
08/12/1979  10     0.6    27.5   12 
09/12/1979  5.3    0.1    27     12 
10/12/1979  3.2    0.5    27.5   12 
11/12/1979  0      0.5    27     12 
12/12/1979  0      1.6    27     12 
13/12/1979  0      0.3    27.5   12 
14/12/1979  0      0.6    28     12 
15/12/1979  0      0.2    28     12 
16/12/1979  0      0.3    28     12 
17/12/1979  0      0.2    28     12 
18/12/1979  0      0.6    28.5   12 
19/12/1979  0      0.3    28.5   12 
20/12/1979  0      0.3    28.5   12 
21/12/1979  0      0.4    29     11 
22/12/1979  0      0.3    29     11 
23/12/1979  0      1.1    30     12 
24/12/1979  0.5    1      30     11 
25/12/1979  0      0.5    30.5   11 
26/12/1979  0      0.6    30.5   12 
27/12/1979  0      0.5    30     12 
28/12/1979  0.6    0.2    30     11 
29/12/1979  0      0.2    30     12 
30/12/1979  8      1      30     12 
31/12/1979  19.7   0.2    30     12 
01/01/1980  2.3    0.3    29     10 
02/01/1980  5.2    0.2    29     10 
03/01/1980  7.5    0.5    29     10 
04/01/1980  0.3    0.4    29     10 
05/01/1980  7.6    0.3    29.5   10 
06/01/1980  0      1      29     10 
07/01/1980  0      0.9    29     10 
08/01/1980  0      1.2    29     10 
09/01/1980  0      2.1    28     10 
10/01/1980  0      1.1    27     10 
11/01/1980  0.3    0.1    27.5   10 
12/01/1980  0      0.1    27     10 
13/01/1980  0      0.8    27     10 
14/01/1980  3.4    0.2    26.5   10 
15/01/1980  3      0.1    26.5   10 
16/01/1980  0      0.2    26.5   10 
17/01/1980  1.5    1.6    25     10 
18/01/1980  1.2    0.3    24     10 
19/01/1980  0      1.3    25     10 
20/01/1980  11.5   1.3    25     10 
21/01/1980  0      0.5    24.5   10 
22/01/1980  0.6    0.6    24     10 
23/01/1980  2.2   Nulo    24     10 
24/01/1980  0      0.1    23     8 
25/01/1980  1.6    1.1    23     9 
26/01/1980  0      0.1    23.5   9 
27/01/1980  0.7    0.3    23.5   9 
